09:40:44:932 [ALWAYS]	GUDE Logging Started
09:40:44:932 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
09:40:44:932 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
09:40:44:932 [ERROR]	Initialize resume cache pointer failure
09:40:44:932 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
09:40:44:932 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
09:40:46:306 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
09:40:46:307 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
09:40:46:307 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
09:40:46:307 [ERROR]	Initialize resume cache pointer failure
09:40:46:307 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
09:40:46:307 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
